hr_order_number,Hrid,Location Name,Attention,Address 1,Address 2,City,State,Zipcode,Country,Phone,Email,Quantity,Item Code1,Item Code2,Item Code3,Item Code4
15,wmazc,Cost Plus World Market - Chandler,Store Manager,860 N. 54th Street,,Chandler,AZ,85226,United States,4244025111,return-bar-locations+wmazc-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
15,wmazc,Cost Plus World Market - Chandler,Store Manager,860 N. 54th Street,,Chandler,AZ,85226,United States,4244025111,return-bar-locations+wmazc-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
16,ub1078,Ulta Beauty,Store Manager,1736 Hwy 27 North,,Sebring,FL,33870,United States,4244025111,return-bar-locations+ub1078-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
16,ub1078,Ulta Beauty,Store Manager,1736 Hwy 27 North,,Sebring,FL,33870,United States,4244025111,return-bar-locations+ub1078-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
17,wm6117,Cost Plus World Market - Westlake,Store Manager,307 Main Street,,Westlake,OH,44145,United States,4244025111,return-bar-locations+wm6117-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
17,wm6117,Cost Plus World Market - Westlake,Store Manager,307 Main Street,,Westlake,OH,44145,United States,4244025111,return-bar-locations+wm6117-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
18,wmalb,Cost Plus World Market - Birmingham,Store Manager,4608 Highway 280,,Birmingham,AL,35242,United States,4244025111,return-bar-locations+wmalb-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
18,wmalb,Cost Plus World Market - Birmingham,Store Manager,4608 Highway 280,,Birmingham,AL,35242,United States,4244025111,return-bar-locations+wmalb-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
19,wmalo,Cost Plus World Market - Opelika,Store Manager,2546 Enterprise Drive,,Opelika,AL,36801,United States,4244025111,return-bar-locations+wmalo-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
19,wmalo,Cost Plus World Market - Opelika,Store Manager,2546 Enterprise Drive,,Opelika,AL,36801,United States,4244025111,return-bar-locations+wmalo-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
20,wmazf,Cost Plus World Market - Flagstaff,Store Manager,5005 E. Marketplace Drive,Ste 120,Flagstaff,AZ,86004,United States,4244025111,return-bar-locations+wmazf-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
20,wmazf,Cost Plus World Market - Flagstaff,Store Manager,5005 E. Marketplace Drive,Ste 120,Flagstaff,AZ,86004,United States,4244025111,return-bar-locations+wmazf-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
21,wmcarl,Cost Plus World Market - Redlands,Store Manager,27440 W. Lugonia Ave,,Redlands,CA,92374,United States,4244025111,return-bar-locations+wmcarl-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
21,wmcarl,Cost Plus World Market - Redlands,Store Manager,27440 W. Lugonia Ave,,Redlands,CA,92374,United States,4244025111,return-bar-locations+wmcarl-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
22,wmcarv,Cost Plus World Market - Roseville,Store Manager,1120 Galleria Blvd,Ste 100,Roseville,CA,95678,United States,4244025111,return-bar-locations+wmcarv-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
22,wmcarv,Cost Plus World Market - Roseville,Store Manager,1120 Galleria Blvd,Ste 100,Roseville,CA,95678,United States,4244025111,return-bar-locations+wmcarv-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
23,wmcob,Cost Plus World Market - Boulder,Store Manager,1685 28th Street,,Boulder,CO,80301,United States,4244025111,return-bar-locations+wmcob-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
23,wmcob,Cost Plus World Market - Boulder,Store Manager,1685 28th Street,,Boulder,CO,80301,United States,4244025111,return-bar-locations+wmcob-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
24,wmcocc,Cost Plus World Market - Cherry Creek Skyline,Store Manager,770 S Colorado Blvd,,Glendale,CO,80246,United States,4244025111,return-bar-locations+wmcocc-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
24,wmcocc,Cost Plus World Market - Cherry Creek Skyline,Store Manager,770 S Colorado Blvd,,Glendale,CO,80246,United States,4244025111,return-bar-locations+wmcocc-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
25,wmcod,Cost Plus World Market - SW Denver,Store Manager,8601 W. Cross Drive,,Denver,CO,80123,United States,4244025111,return-bar-locations+wmcod-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
25,wmcod,Cost Plus World Market - SW Denver,Store Manager,8601 W. Cross Drive,,Denver,CO,80123,United States,4244025111,return-bar-locations+wmcod-dev-2@happyreturns.com,200,Bag 12x18 labels,,,
26,wmcodw,Cost Plus World Market - Denver West,Store Manager,14387 West Colfax Ave,,Lakewood,CO,80401,United States,4244025111,return-bar-locations+wmcodw-dev-2@happyreturns.com,300,Bag 24x24 labels,,,
